Species	Priority	N_act	N_compl	N_partc	N_oncur	N_nocur	N_nostr	N_obsol	N_disco	Total	Threat_allev	Improve_demo	Listing_chng	five.yr_revw	listing_date	act_recov_pl	priority_num	tot_act_comp	pct_act_comp	Comments	time_listed	time_plans	time_review	status_cat	combo_score	priority_conflict
Snake River Physa Snail	2	13	1	1	5	0	1	4	1	31	0.5	1	E-->T	5/23/14	12/14/92	11/26/95	5	3	9.68%	11.76%	8187	7110	357	Improve	1.5	C
Snake River Physa Snail	3	1	0	0	0	0	0	1	0	31	0.5	1	E-->T	5/23/14	12/14/92	11/26/95	5	3	9.68%	11.76%	8187	7110	357	Improve	1.5	C
Southeastern Beach Mouse	1	3	0	0	3	0	0	0	0	10	0	-0.5	T	4/7/08	5/12/89	9/23/93	9	0	0.00%	0.00%	9499	7904	2594	No Change	-0.5	C
Southeastern Beach Mouse	2	2	0	0	2	0	0	0	0	10	0	-0.5	T	4/7/08	5/12/89	9/23/93	9	0	0.00%	0.00%	9499	7904	2594	No Change	-0.5	C
Southeastern Beach Mouse	3	5	0	0	3	0	2	0	0	10	0	-0.5	T	4/7/08	5/12/89	9/23/93	9	0	0.00%	0.00%	9499	7904	2594	No Change	-0.5	C
Stephens Kangaroo Rat	1	2	1	0	1	0	0	0	0	25	1	-1	E-->T	7/22/11	9/30/88	6/23/97	11	1	4.00%	50.00%	9723	6535	1393	Improve	0	
Stephens Kangaroo Rat	2	15	0	0	8	1	6	0	0	25	1	-1	E-->T	7/22/11	9/30/88	6/23/97	11	1	4.00%	50.00%	9723	6535	1393	Improve	0	
Stephens Kangaroo Rat	3	8	0	0	4	0	4	0	0	25	1	-1	E-->T	7/22/11	9/30/88	6/23/97	11	1	4.00%	50.00%	9723	6535	1393	Improve	0	
Tidewater Goby	1	8	0	1	4	0	3	0	0	34	1	0.5	E-->T	9/28/07	2/4/94	12/7/05	7	0	0.00%	0.00%	7770	3446	2786	Improve	1.5	C
Tidewater Goby	2	18	0	1	4	0	13	0	0	34	1	0.5	E-->T	9/28/07	2/4/94	12/7/05	7	0	0.00%	0.00%	7770	3446	2786	Improve	1.5	C
